iter	Passed	Remaining
0	149	149463
1	150	75170
2	151	50358
3	152	37918
4	153	30480
5	153	25485
6	154	21924
7	155	19275
8	156	17209
9	157	15568
10	158	14257
11	159	13128
12	160	12168
13	161	11349
14	161	10631
15	162	9998
16	163	9444
17	164	8949
18	164	8512
19	165	8113
20	166	7756
21	167	7429
22	167	7134
23	168	6861
24	169	6609
25	170	6386
26	171	6179
27	172	5996
28	173	5817
29	174	5647
30	175	5489
31	176	5336
32	177	5197
33	178	5065
34	179	4941
35	180	4820
36	180	4710
37	181	4604
38	182	4505
39	183	4408
40	184	4313
41	185	4233
42	186	4158
43	187	4078
44	188	4005
45	189	3930
46	190	3860
47	191	3791
48	192	3729
49	192	3666
50	193	3605
51	194	3547
52	195	3490
53	196	3439
54	197	3387
55	198	3339
56	198	3291
57	200	3249
58	201	3211
59	202	3166
60	202	3124
61	203	3083
62	204	3043
63	205	3004
64	206	2967
65	207	2931
66	207	2894
67	208	2860
68	209	2825
69	210	2795
70	211	2764
71	212	2734
72	213	2705
73	213	2675
74	214	2648
75	216	2626
76	216	2600
77	217	2573
78	218	2549
79	219	2525
80	220	2500
81	221	2476
82	221	2449
83	222	2426
84	223	2405
85	224	2386
86	225	2366
87	226	2347
88	227	2326
89	228	2308
90	229	2289
91	230	2271
92	231	2257
93	232	2239
94	233	2222
95	234	2205
96	234	2187
97	235	2170
98	236	2154
99	237	2137
100	238	2120
101	239	2106
102	240	2091
103	241	2077
104	241	2062
105	242	2047
106	243	2033
107	244	2020
108	245	2010
109	246	1997
110	247	1984
111	248	1972
112	249	1958
113	250	1947
114	251	1933
115	251	1920
116	252	1908
117	253	1896
118	254	1884
119	255	1872
120	256	1861
121	256	1848
122	257	1837
123	258	1826
124	259	1814
125	260	1805
126	261	1797
127	262	1787
128	263	1777
129	264	1767
130	264	1757
131	265	1747
132	266	1738
133	267	1728
134	268	1719
135	269	1709
136	269	1700
137	270	1690
138	271	1681
139	272	1672
140	273	1663
141	273	1653
142	274	1645
143	275	1638
144	276	1630
145	277	1623
146	278	1614
147	279	1607
148	280	1599
149	280	1591
150	281	1585
151	282	1578
152	283	1571
153	284	1564
154	285	1557
155	286	1550
156	287	1542
157	288	1535
158	289	1529
159	289	1522
160	290	1514
161	291	1509
162	292	1502
163	293	1495
164	294	1488
165	295	1482
166	296	1476
167	296	1470
168	297	1464
169	298	1457
170	299	1451
171	300	1445
172	301	1439
173	301	1433
174	302	1427
175	303	1421
176	304	1415
177	305	1411
178	306	1406
179	307	1400
180	308	1394
181	309	1389
182	309	1383
183	310	1378
184	311	1372
185	312	1367
186	313	1361
187	314	1356
188	314	1351
189	315	1346
190	316	1340
191	317	1335
192	318	1329
193	318	1324
194	319	1319
195	320	1314
196	321	1309
197	322	1305
198	323	1301
199	323	1295
200	324	1291
201	325	1286
202	326	1282
203	327	1277
204	328	1273
205	329	1269
206	330	1264
207	331	1260
208	331	1256
209	332	1251
210	333	1247
211	334	1242
212	334	1237
213	335	1232
214	336	1228
215	337	1225
216	338	1221
217	339	1218
218	340	1214
219	341	1210
220	342	1206
221	343	1202
222	343	1198
223	344	1194
224	345	1189
225	346	1185
226	347	1181
227	347	1178
228	348	1174
229	349	1170
230	350	1166
231	351	1162
232	352	1160
233	353	1156
234	354	1153
235	355	1149
236	356	1146
237	356	1142
238	357	1139
239	358	1135
240	359	1131
241	360	1128
242	361	1124
243	361	1121
244	362	1117
245	363	1114
246	364	1110
247	365	1107
248	365	1103
249	367	1101
250	368	1098
251	369	1096
252	370	1093
253	371	1089
254	371	1086
255	372	1083
256	373	1080
257	374	1076
258	375	1074
259	376	1070
260	377	1067
261	377	1063
262	378	1060
263	379	1056
264	379	1053
265	380	1050
266	382	1048
267	382	1046
268	383	1043
269	384	1040
270	385	1037
271	386	1034
272	387	1031
273	388	1028
274	388	1024
275	389	1021
276	390	1018
277	391	1015
278	391	1012
279	392	1009
280	393	1006
281	393	1002
282	394	999
283	395	996
284	396	994
285	397	992
286	398	989
287	399	986
288	399	983
289	400	980
290	401	977
291	402	975
292	403	972
293	403	969
294	404	966
295	405	963
296	406	961
297	406	958
298	407	955
299	408	952
300	408	949
301	409	947
302	410	944
303	411	943
304	412	940
305	413	938
306	414	935
307	415	932
308	415	930
309	416	927
310	417	924
311	418	921
312	418	919
313	419	916
314	420	914
315	421	911
316	421	909
317	422	906
318	423	904
319	424	901
320	424	898
321	425	896
322	426	894
323	427	892
324	428	890
325	429	888
326	430	885
327	431	883
328	432	881
329	433	879
330	433	876
331	434	874
332	435	872
333	436	870
334	437	867
335	438	865
336	439	863
337	439	861
338	440	859
339	441	857
340	442	856
341	443	853
342	444	851
343	445	849
344	447	848
345	448	847
346	449	846
347	450	844
348	451	842
349	453	841
350	454	839
351	455	838
352	456	836
353	457	835
354	459	835
355	460	833
356	461	832
357	463	830
358	464	828
359	465	827
360	466	825
361	467	824
362	468	822
363	470	821
364	471	819
365	472	818
366	473	817
367	475	816
368	476	814
369	477	813
370	478	812
371	480	810
372	481	809
373	482	808
374	484	806
375	485	805
376	486	804
377	487	802
378	489	801
379	490	800
380	491	798
381	492	797
382	494	795
383	495	794
384	496	792
385	497	791
386	498	789
387	499	788
388	501	786
389	502	785
390	503	784
391	505	783
392	506	782
393	507	780
394	508	779
395	509	777
396	511	776
397	512	775
398	514	774
399	515	773
400	516	772
401	518	771
402	519	769
403	520	768
404	522	767
405	523	765
406	524	764
407	526	763
408	527	762
409	528	760
410	529	759
411	531	758
412	532	757
413	534	756
414	535	755
415	536	753
416	537	752
417	539	750
418	540	749
419	541	748
420	543	747
421	544	745
422	546	744
423	547	743
424	548	742
425	550	741
426	551	740
427	553	739
428	554	738
429	556	737
430	557	735
431	558	734
432	559	733
433	560	731
434	562	730
435	563	728
436	564	727
437	566	726
438	567	725
439	568	723
440	569	722
441	571	721
442	572	719
443	573	718
444	574	717
445	576	715
446	577	714
447	579	713
448	580	712
449	582	711
450	583	710
451	584	708
452	585	707
453	587	706
454	588	704
455	589	703
456	591	702
457	592	701
458	593	699
459	595	698
460	596	697
461	598	696
462	599	695
463	600	694
464	602	692
465	603	691
466	605	691
467	607	690
468	609	690
469	611	689
470	613	689
471	617	690
472	619	690
473	620	688
474	622	687
475	624	686
476	625	685
477	626	684
478	628	683
479	629	682
480	631	681
481	632	679
482	634	678
483	635	677
484	637	676
485	638	675
486	640	674
487	641	672
488	642	671
489	643	670
490	645	668
491	646	667
492	647	666
493	648	664
494	650	663
495	651	662
496	652	660
497	654	659
498	655	658
499	657	657
500	658	655
501	659	654
502	660	653
503	662	651
504	663	650
505	665	649
506	666	648
507	667	646
508	669	645
509	670	644
510	672	643
511	673	641
512	674	640
513	676	639
514	677	637
515	678	636
